Dt,Price,Open,High,Low,Vol.,Change %
03/04/21,"1,700.70","1,708.40","1,721.60","1,687.60",277.45K,-0.88%
03/03/21,"1,715.80","1,736.50","1,739.10","1,699.40",255.65K,-1.03%
03/02/21,"1,733.60","1,722.80","1,737.80","1,704.60",235.96K,0.62%
03/01/21,"1,723.00","1,732.80","1,757.40","1,717.20",241.92K,-0.34%
02/26/21,"1,728.80","1,770.90","1,773.80","1,714.90",362.55K,-2.62%
02/25/21,"1,775.40","1,804.90","1,805.00","1,763.90",316.25K,-1.25%
02/24/21,"1,797.90","1,805.00","1,813.00","1,782.20",224.06K,-0.44%
02/23/21,"1,805.90","1,809.30","1,815.20","1,794.50",191.15K,-0.14%
02/22/21,"1,808.40","1,782.00","1,812.40","1,778.60",221.20K,1.74%
02/19/21,"1,777.40","1,774.60","1,790.90","1,759.00",251.78K,0.14%
02/18/21,"1,775.00","1,776.00","1,788.80","1,766.60",224.77K,0.12%
02/17/21,"1,772.80","1,793.10","1,794.20","1,767.90",257.34K,-1.46%
02/16/21,"1,799.00","1,826.00","1,827.10","1,788.10",355.92K,-1.09%
02/15/21,"1,818.75","1,820.90","1,827.00","1,815.60",-,-0.13%
02/14/21,"1,821.05","1,822.45","1,826.30","1,820.15",-,-0.12%
02/12/21,"1,823.20","1,825.40","1,831.50","1,810.10",171.90K,-0.20%
02/11/21,"1,826.80","1,844.30","1,848.60","1,821.70",147.02K,-0.86%
02/10/21,"1,842.70","1,838.30","1,856.60","1,834.00",176.44K,0.28%
02/09/21,"1,837.50","1,832.40","1,849.50","1,830.30",154.39K,0.18%
02/08/21,"1,834.20","1,818.10","1,840.60","1,807.30",177.56K,1.17%
02/05/21,"1,813.00","1,794.30","1,816.00","1,792.20",205.76K,1.22%
02/04/21,"1,791.20","1,834.50","1,835.70","1,784.60",279.62K,-2.39%
02/03/21,"1,835.10","1,838.50","1,845.90","1,830.10",137.23K,0.09%
02/02/21,"1,833.40","1,863.60","1,866.30","1,830.40",236.00K,-1.64%
02/01/21,"1,863.90","1,865.00","1,876.00","1,851.70",242.05K,0.74%
01/29/21,"1,850.30","1,845.60","1,878.90","1,841.20",276.17K,0.49%
01/28/21,"1,841.20","1,847.20","1,867.00","1,835.60",277.59K,-0.42%
